name,size,location,best time to collect
Podium Background,9m89cm5mm,racetrack,
Wedding Spot,18m32cm9mm,alap4,
Red Panda,2m13cm2mm,friends,
,,,
5g. Evil,,,
,,,
Red Oni Mask,27cm4mm,sumo,
Blue Oni Mask,27cm4mm,sumo,
Green Oni Mask,27cm4mm,sumo,
Burglar,1m79cm3mm,alap4,
Famous Wrestler,2m4cm2mm,cowbear,
Mecha Mogran,118m95cm7mm,alap5,
Neck Monster,555m55cm5mm,afap5,
,,,
5h. Heroes,,,
,,,
Momotaro,1m5mm,sumo large,
Kintaro-Bear,4m62cm,cowbear,
Wrestler,1m97cm4mm,cowbear,
Jumboman Red Mask,44cm,"cranes, middle classroom",
Jumboman Blue Mask,44cm,"cranes, middle classroom",
Jumboman Yellow Mask,44cm,"cranes, middle classroom",
Jumboman Figure,24cm7mm,alap2,
"Fly, Jumboman!",129m11cm3mm,alap5,
,,,
Marine Jumboman,427m31cm9mm,alap5,
"Fight, Jumboman!",788m77cm8mm,afap5,
Jumbo Papa,584m72cm1mm,alap5,
,,,
5i. School,,,
,,,
School Desk,1m60cm1mm,alap3,
100 points!,25cm,"school, cranes",
0 points...,25cm,cranes,
Test Papers,80cm,alap3,
Attendance Book,31cm6mm,alap3,
Notebook,24cm7mm,alap3,
Sketchbook,24cm7mm,alap3,
Diploma Storage Tube,30cm1mm,school,
,,,
Chalk,4cm6mm,"alap2, cleaning","cleaning, unmissable"
Red Chalk,4cm6mm,"alap2, cleaning","cleaning, unmissable"
Yellow Chalk,4cm6mm,"alap2, cleaning","cleaning, unmissable"
Green Chalk,4cm6mm,"alap2, cleaning","cleaning, unmissable"
Blue Chalk,4cm6mm,"alap2, cleaning","cleaning, unmissable"
Blackboard Eraser,16cm2mm,alap2,
Mobile Blackboard,2m66cm3mm,school,
Blackboard,3m,school,
,,,
Kindergarten Hat,39cm2mm,alap2,
Indoor Shoes,17cm2mm,alap3,
School Notebook,15cm1mm,cranes,
Girl's Backpack,65cm5mm,alap3,
Boy's Backpack,65cm5mm,alap3,
Lunch Bag,55cm8mm,school,
School Bag,52cm3mm,alap3,
Sports Bag,76cm5mm,alap3,
,,,
Classroom Objective,2m51cm5mm,school,
Classroom Objective,1m47cm1mm,school,
Toilet Bowl,1m40cm,school,
Urinal,1m90cm,school,
Podium,1m80cm,alap3,
Desk,2m20cm,school,
Expensive Desk,2m95cm2m,school,
Principal's Table,2m77cm2mm,school,
,,,
Principal's Picture (B&W),60cm7mm,school,
Principal's Picture (Color),60cm7mm,school,
Hospital Bed,2m95cm8mm,school afap,
Hanging Shelf,2m13cm5mm,school,
Red & White Cap,36cm4mm,alap3,
Hero's Cap,36cm4mm,underwater,
P.E. Wear,38cm3mm,school,
Gym Uniform,59cm1mm,"alap2, on the clothes line, alap3, on a fence, school",
,,,
Principal's Statue,1m99cm2mm,alap3,
Group: Vaulting Horse (10 Objects),,,
Top,91cm7mm,"alap3, alap4",
2nd Step,83cm4mm,"alap3, alap4",
3rd Step,84cm5mm,"alap3, alap4",
4th Step,81cm9mm,alap4,
5th Step,84cm2mm,"alap3, alap4",
6th Step,86cm3mm,"alap3, alap4",
7th Step,88cm4mm,"alap3, alap4",
8th Step,90cm3mm,"alap3, alap4",
9th Step,92cm2mm,"alap3, alap4",
10th Step,94cm,"alap3, alap4",
End of Group: Vaulting Horse,,,
Balance Beam,2m63cm8mm,alap3,
Horizontal Bar,4m79cm1mm,alap3,
Hanging Bars,6m36cm,alap5,
Gym Storage,9m60cm,afap4,
School Incinerator,4m64cm1mm,alap3,
Podium,3m21cm8mm,alap4,
,,,
School Gate,6m64cm2mm,alap4,
Gymnasium,32m45cm9mm,alap5,
School Building #1,45m32cm8mm,alap5,
School Building #2,31m90cm4mm,alap5,
High School,55m61cm6mm,afap5,
College,63m33cm1mm,afap5,
,,,
5j. Playground,,,
,,,
Slide,6m58cm3mm,alap5,
See-saw,3m64cm4mm,friends afap,
Globe Jungle Gym,5m55cm1mm,alap5,
Jungle Gym,7m33cm1mm,alap5,
Rock,31cm1mm,alap2,
Black Rock,45cm5mm,alap3,
Big Rock,73cm7mm,alap2,
Pebble,77cm,underwater,
,,,
Swing,1m50cm1mm,"friends afap, on a tree by the atm",
Swing,2m41cm8mm,alap4,
Rocking Horse,1m56cm,racetrack,
,,,
6a. Energy,,,
,,,
AAA Battery,6cm4mm,alap1,
9-Volt Battery,7cm4mm,alap2,
Battery,9cm8mm,alap1,
Firewood,79cm8mm,friends,
Propane Tank,1m52cm7mm,alap3,
Gas Pump,2m16cm1mm,racetrack,
Water Tank,13m48cm3mm,alap4,
Steel Tower,17cm70m9mm,alap4,
,,,
Oil Tank (Full),36m51cm2mm,afap5,
Petroleum Tank,25m55cm8mm,alap5,
Scientific Factory,34m60cm5mm,alap5,
Oil Factory,32m15cm,alap5,
Oilfield Chimney,27m24cm1mm,alap5,
Oilfield,33m32cm,alap5,
Windmill,20m13cm8mm,alap4,
Windmill,45m45cm4mm,alap5,
,,,
Gas Tank,87m33cm,alap5,
Oil Tanker,215m10cm5mm,alap5,
,,,
6b. Farming,,,
,,,
Hoe,96cm1mm,alap2,
Shovel,85cm,alap2,
Bale of Rice,1m11cm,friends afap,
Straw,1m65cm5mm,alap3,
Scarecrow,2m46cm2mm,alap3,
Tiller,3m69cm8mm,afap4,
Combine Harvester,4m71cm,alap3,
Tractor,6m14cm5mm,alap5,
,,,
Grandma,1m44cm6mm,alap3,
Farmer,2m5cm9mm,alap3,
Barn,11m61cm3mm,alap4,
Plastic Greenhouse,13m8cm4mm,alap4,
Cowshed,15m52cm1mm,alap4,
Farmhouse,13m20cm4mm,alap4,
Farmhouse,16m90cm3mm,alap5,
European Farm,17m8cm1mm,alap5,
,,,
Silo,22m48cm2mm,alap4,
,,,
6c. Industry,,,
,,,
Marlin Building,23m8cm8mm,alap5,
Stingray Building,29m85cm,alap5,
Bream Building,34m77cm8mm,alap5,
Coral Building,46m90cm,alap5,
Guppy Building,33m82cm7mm,alap5,
Carp Building,45m66cm,alap5,
Amberjack Tower,22m82cm5mm,alap5,
Sunfish Tower,53m31cm1mm,alap5,
,,,
Salmon Tower,58m63cm5mm,alap5,
Department Store,52m36cm9mm,alap5,
Coral Tower,57m62cm8mm,alap5,
Flounder Tower,58m34cm7mm,alap5,
Killifish Tower,72m83cm5mm,alap5,
Yellowtail Tower,58m84cm3mm,alap5,
Pilchard Building,62m53cm1mm,alap5,
Goldfish Building,64m21cm2mm,alap5,
,,,
Under Construction,38m48cm6mm,alap5,
Chocolate Factory,19m87cm,alap5,
Winery,26m11cm8mm,alap5,
Auto Factory,35m43cm3mm,alap5,
Chimney,25m13cm4mm,alap5,
Kelp Factory,34m60cm9mm,just right large,
Smokestack,22m80cm6mm,just right large,
TV Station,43m43cm5mm,afap5,
,,,
Hamburger Building,45m35cm4mm,alap5,
Jennifer's Building,57m72cm4mm,alap5,
Potato Building,86m84cm1mm,alap5,
Danielle's Building,51m73cm,alap5,
Michael's Building,32m84cm6mm,alap5,
John's Building,31m20cm8mm,alap5,
Mackerel Building,91m24cm7mm,alap5,
Salmon Building,132m77cm2mm,alap5,
,,,
Eel Building,141m61cm8mm,alap5,
Brine Building,170m47cm1mm,alap5,
,,,
6d. Symbols,,,
,,,
New Driver Sign,14cm,alap2,
Senior Driver Sign,13cm6mm,"alap3, near the beetle fight",
Monument,2m71cm9mm,racetrack,
Clock Tower,5m1cm4mm,alap3,
Small Totem Pole,7m23cm,friends,
Totem Pole,9m26cm7mm,racetrack,
Tall Totem Pole,14m25cm5mm,afap5,
Observatory Object,9m36cm1mm,alap4,
,,,
Biker Flag,1m13cm9mm,racetrack,
School Flag,4m82cm4mm,alap3,
Rich Haul Flag #3,7m12cm3mm,alap5,
Rich Haul Flag #1,5m93cm7mm,"racetrack, alap5",
Rich Haul Flag #3,5m93cm7mm,alap5,
Rich Haul Flag #4,7m12cm3mm,alap5,
Zoo Flag,6m20cm2mm,friends,
Gull 'n Kelp,10m38cm5mm,just right large,
,,,
Stone Memorial,5m25cm7mm,friends,
Angkor Statue,22m90cm7mm,alap5,
Future Tower,425m70cm,alap5,
Twin Rocks,157m57cm3mm,alap5,
,,,
6e. Houses,,,
,,,
Nakayama Residence,11m37cm7mm,racetrack,
Kamota Residence,12m63cm2mm,alap4,
Nakamura Residence,11m2cm,alap4,
Todoroki Residence,12m48cm7mm,alap4,
Yamada Residence,13m69cm4mm,alap4,
Kido Residence,10m64cm,alap4,
Konishi Residence,13m66cm2mm,alap4,
Miyamoto Residence,13m69cm9mm,alap4,
,,,
Roach Motel,23cm7mm,alap1,
Bird's Nest,94cm6mm,friends afap,
Birdcage,1m12cm4mm,school,
Aquarium,1m21cm1mm,"underwater, school, alap4",
Doghouse,1m42cm1mm,racetrack,
Mushroom House,10m23cm4mm,"afap4, random",
Nikaido Residence,14m81cm1mm,just right large,
Onishi Residence,13m49cm2mm,just right large,
,,,
Niwata Residence,15m89cm8mm,just right large,
Umemoto Residence,15m89cm8mm,just right large,
Matsuo Residence,15m83cm6mm,just right large,
Shimizu Residence,13m49cm2mm,just right large,
Morimoto Residence,14m81cm1mm,just right large,
Hasegawa Residence,13m49cm2mm,just right large,
Kurosaki Residence,15m89cm8mm,just right large,
Noguchi Residence,15m83cm6mm,just right large,
,,,
Red Tent,4m38cm1mm,campfire large,
Blue Tent,4m79cm5mm,snow,
Yellow Tent,5m80cm8mm,alap4,
Green Tent,5m80cm1mm,campfire large,
Camping Tent,5m39cm2mm,campfire large,
Teepee,6m98cm1mm,racetrack,
Log Cabin,8m65cm3mm,alap4,
Bungalow,17m76cm4mm,alap4,
,,,
Majima Residence,16m30cm8mm,alap5,
Tamagawa Residence,19m70cm2mm,alap5,
Hara Residence,16m30cm8mm,alap5,
Traditional Snow House,18m10cm9mm,just right large,
Igloo,14m57cm4mm,alap5,
Cottage,16m93cm4mm,afap5,
Lodge,19m87cm2mm,alap5,
Pierre's Residence,13m29cm6mm,alap5,
,,,
William's Residence,12m5mm,alap5,
Joseph's Residence,14m57cm2mm,alap5,
Waffle Building,20m23cm7mm,alap5,
Red Apartment Building,29m3cm4mm,alap4,
White Condominium,34m73cm4mm,alap5,
Apartment,15m7cm5mm,alap4,
Apartment Block,32m67cm5mm,alap5,
Mansion,18m13cm5mm,racetrack,
,,,
Charles' Residence,22m6mm,alap5,
Rudolph's Residence,23m9cm1mm,alap5,
Wilson Mansion,48m34cm4mm,alap5,
Carter Mansion,48m29cm,alap5,
Monroe Mansion,48m57cm6mm,alap5,
Ford Mansion,48m36cm4mm,alap5,
Jackson Mansion,48m32cm8mm,alap5,
,,,
6f. Stores,,,
,,,
Shaved Ice Store,4m79cm5mm,snow,
Grilled Corn Store,4m79cm5mm,racetrack,
Apple Candy Store,4m79cm5mm,racetrack,
Takoyaki Shop,4m79cm5mm,racetrack,
Welcome Mat,55cm1mm,sumo large,
Price Tag 980 Yen,73cm,alap3,
Price Tag 198 Yen,75cm3mm,alap3,
Palmistry Table,2m3cm,alap4,
,,,
Karaoke Box,9m21cm2mm,alap4,
Karaoke Box,9m21cm2mm,alap4,
Karaoke Building,9m21cm2mm,alap4,
Karaoke Building,9m21cm2mm,alap4,
Small Store,10m62cm5mm,alap4,
Fish Store,10m84cm7mm,alap4,
Stationary Store,11m28cm3mm,alap4,
Electronics Store,11m81cm1mm,alap4,
,,,
Souvenir Shelf,2m10cm4mm,friends,
Souvenir Rack,2m5cm6mm,friends,
Food Court,8m41cm4mm,friends,
Souvenir Shop,8m41cm4mm,friends,
Green Café Table,4m24cm7mm,alap3,
Red Café Table,4m24cm7mm,alap3,
Café,11m50cm5mm,alap4,
Café,11m30cm5mm,alap4,
,,,
Florist,10m79cm6mm,alap5,
Barbershop,12m11cm,alap4,
Musical Instrument Store,12m14cm2mm,alap4,
Teahouse,14m53cm4mm,just right large,
Umbrella Shop,12m77cm6mm,alap5,
Yakitori Restaurant,12m19cm3mm,alap4,
Pizza Shop,15m62cm1mm,alap5,
Sailboat Rental,13m46cm1mm,alap4,
,,,
Convenience Store,15m7cm8mm,alap5,
Convenience Store,15m7cm8mm,alap4,
Ski Rental Shop,17m4mm,"alap5, on top of mt. fuji",
Boathouse,26m81cm5mm,afap5,
Family Resturant,20m63cm,alap4,
Market,36m71cm5mm,alap5,
Wholesale Market,55m63cm7mm,just right large,
Shopping Mall,131m34cm1mm,alap5,
,,,
6g. Facilities,,,
,,,
Fire Department,42m11cm4mm,alap5,
Well Pump,1m83cm1mm,campfire small,
Well,4m48cm1mm,friends,
Log,2m85cm4mm,sumo medium,
Wooden Steps,3m3mm,racetrack,
Driftwood,5m17cm7mm,racetrack,
Port-A-Potty,3m71cm3mm,campfire large,
Public Toilet,9m13cm7mm,friends,
,,,
Picnic Table,7m53cm3mm,friends,
Prefab House,11m56cm9mm,alap4,
Carport,8m22cm6mm,alap5,
Shrine Hut,14m8cm3mm,alap4,
Overbridge,11m82cm7mm,alap4,
Pier,16m70cm2mm,alap5,
Canal Bridge,19m42cm5mm,alap5,
Red Bridge,25m70cm6mm,alap5,
,,,
Prefab Office,11m7cm2mm,just right large,
Information,6m50cm3mm,friends,
Observatory,11m97cm,alap5,
Warehouse,34m31cm1mm,afap5,
Parking Garage,24m44cm6mm,alap5,
Gas Station,21m9cm1mm,alap4,
Cable Car Terminal,46m20cm,alap5,
Tennis House,19m84cm5mm,alap4,
,,,
Race Control Tower,16m25cm,racetrack,
Casino Building,40m46cm2mm,alap5,
Movie Theater,31m62cm4mm,alap5,
Wine Cellar,23m18cm6mm,alap5,
Chinese Bell Tower,35m39cm8mm,alap5,
Tall Bell Tower,30m71cm1mm,alap5,
Fountain,22m80cm4mm,alap5,
Fountain,32m10cm,alap5,
,,,
Observatory,40m81cm,alap5,
Airport Terminal,125m30cm7mm,alap5,
Airport,170m5cm8mm,afap5,
Airport,427m6cm9mm,alap5,
Astro Space Center,146m7cm4mm,afap5,
Launch Pad,413m22cm1mm,afap5,
Space Center,308m72cm3mm,afap5,
Soccer Stadium,228m83cm2mm,alap5,
,,,
Stadium,271m64cm3mm,alap5,
,,,
6h. Partitions,,,
,,,
Florist Fence,1m90cm3mm,alap3,
Cinder Block,67cm8mm,snow,
Bamboo Fence,96cm9mm,alap3,
Bamboo Blind,1m18cm,alap4,
Bathhouse Curtain,93cm7mm,pandas,
Curtain,2m20cm,school,
Curtain,2m30cm,school,
Wooden Wall,1m44cm7mm,alap3,
,,,
School Wall,4m93cm6mm,alap3,
Wall,1m97cm7mm,alap3,
Steel Fence,1m95cm7mm,alap3,
Curve Rail,3m13cm4mm,alap3,
Fence Post,2m40cm,alap3,
Low Fence,1m75cm,alap3,
Short Fence,2m5cm5mm,friends,
Fence,3m18cm3mm,alap3,
,,,
Fancy Fence,2m44cm3mm,alap3,
Handrail,3m90cm5mm,alap3,
Wooden Fence,2m20cm9mm,alap3,
Wooden Fence,2m40cm8mm,alap3,
Gardening Fence,2m96cm3mm,friends,
Construction Fence,3m94cm6mm,alap4,
Partition,2m10cm,school,
Long Barrier,5m84cm7mm,alap4,
,,,
Log Fence,3m49cm7mm,snow,
Railing,4m20cm5mm,friends,
Farm Railing,4m5mm,alap3,
Piling,4m20cm,friends,
Kiddy Fence,1m20cm8mm,friends,
Handrail,4m20cm3mm,friends,
Window,2m50cm,school,
Small Window,2m,school,
,,,
Big Concrete Wall,2m70cm,school,
Small Concrete Wall,2m20cm,school,
Wall (Long),7m81cm1mm,alap4,
Partition,1m80cm,school,
Partition,2m30cm,school,
Partition,2m50cm,school,
Beam,2m40cm,school,
Pool Rope,3m75cm8mm,alap3,
,,,
Crossing Bar,4m67cm,alap4,
Net,6m72cm5mm,alap4,
Breakwater Block,4m74cm6mm,racetrack,
Breakwater Block,8m68cm,alap4,
,,,
6i. Entrances & Exits,,,
,,,
Door,1m79cm6mm,school,
Toilet Door,2m30cm,school,
Shoji,1m31cm,racetrack,
Small Sliding Door,1m1cm1mm,alap3,
Sliding Door,1m53cm9mm,sumo medium,
Sliding Door,1m59cm4mm,racetrack,
Gatepost,1m98cm4mm,alap3,
Duct,2m93cm3mm,alap3,
,,,
Happy Gate,9m31cm5mm,alap5,
Wedding Gate,6m58cm7mm,racetrack,
Construction Entrance,10m8cm3mm,racetrack,
Sunny Savanna Gate,8m30cm8mm,friends,
Petting Zoo Gate,6m64cm1mm,friends,
Tropical Jungle Gate,7m20cm8mm,friends,
Leafy Arch,3m32cm7mm,50 objects,
Circuit Arch,20m42cm1mm,racetrack,
,,,
Open Pit,14m20cm4mm,racetrack,
Closed Pit,14m35cm5mm,racetrack,
Chinese Gate,33m76cm8mm,alap5,
,,,
6j. Roadways,,,
,,,
"""Don't Rush Out!""",1m43cm5mm,alap3,
Speed Limit Sign,1m33cm3mm,alap3,
Caution,1m33cm4mm,underwater,
One Way,1m33cm7mm,alap3,
"""No Parking"" Sign",1m33cm9mm,alap3,
Stop Sign,1m33cm2mm,alap3,
Traffic Mirror,2m29cm6mm,alap3,
Manhole Cover,59cm,"friends afap, in the ducts on the hill",
,,,
Pylon,71cm3mm,alap3,
Sidewalk Marker,1m41cm1mm,alap3,
Tel. Pole Brace,1m22cm4mm,alap3,
Short Utility Pole,5m39cm6mm,alap3,
Tall Utility Pole,6m41cm1mm,alap4,
Pedestrian Signal,2m72cm2mm,alap3,
Traffic Signal,6m34cm1mm,alap4,
Race Signal,11m10cm5mm,racetrack,
,,,
Safari Bus Stop,3m11cm7mm,friends,
Bus Stop Shelter,7m87cm8mm,friends,
Bus Stop,1m52cm,alap3,
Bus Stop,12m12cm1mm,alap4,
Guardrail (5m),2m51cm5mm,racetrack,
Guardrail (Right),2m23cm,alap3,
Guardrail (Left),2m23cm,racetrack,
Guardrail (3m),2m15cm1mm,alap3,
,,,
Fancy Guardrail,1m87cm,alap3,
Railroad,8m27cm3mm,alap4,
Hiyodori Station,16m52cm3mm,alap4,
Ticket Gate,1m85cm,alap3,
Iron Bridge,44m60cm5mm,alap5,
Iron Bridge,70m4cm5mm,alap5,
Iron Bridge,180m45cm5mm,alap5,
European Station,58m18cm9mm,alap5,
,,,
Highway Sign,13m83cm7mm,alap4,
Highway Toll Booth,19m72cm1mm,alap5,
Highway,205m70cm7mm,alap5,
4-Lane Highway,200m24cm2mm,alap5,
Future Highway,412m50cm5mm,alap5,
,,,
7a. Wheels,,,
,,,
Tire,1m14cm9mm,friends,
Red Tire,1m14cm9mm,racetrack,
Blue Tire,1m14cm9mm,racetrack,
Red Tire Barrier,1m96cm2mm,racetrack,
Green Tire Barrier,1m96cm2mm,racetrack,
White Tire Barrier,1m96cm2mm,racetrack,
RC Car,56cm3mm,alap2,
Ox Carriage,65cm5mm,racetrack,
,,,
Field Liner,80cm7mm,alap3,
Shopping Cart,1m45cm6mm,racetrack,
Rollerboy,1m54cm6mm,alap4,
Skater Boy,1m95cm5mm,"racetrack afap, going around the upper track (random)",
Sale Cart,2m4cm7mm,friends,
Wheelbarrow,2m26cm4mm,alap3,
,,,
7b. Transport,,,
,,,
Japanese Car,6m3cm,racetrack,
Hatchback,5m79cm9mm,racetrack,
Van,6m83cm6mm,racetrack,
Compact,5m40cm3mm,racetrack,
Minivan,5m64cm1mm,alap4,
Monster Truck,8m37cm3mm,racetrack,
Monkey Ride,2m99cm1mm,friends,
Kiddie Car,1m42cm7mm,racetrack,
,,,
Bicycle,1m88cm8mm,alap3,
Tricycle,2m22cm2mm,alap4,
Kid's Tricycle,99cm9mm,alap3,
Scooter,2mm43cm5mm,alap3,
Bicycle,1m88cm8mm,alap3,
Mountain Bike,2m6cm,alap3,
Snowmobile,3m45cm7mm,snow,
Sled,4m50cm3mm,snow,
,,,
Racing Car (Red),4m49cm5mm,racetrack,
Racing Car (Green),4m49cm5mm,racetrack,
Racing Car (Colorful),4m49cm5mm,racetrack,
ATV 4-wheeler,2m25cm7mm,racetrack,
Carriage,7m80cm7mm,just right large,
Rickshaw,4m23cm1mm,alap5,
Cars,12m,afap5,
Trucks,48m30cm,alap5,
,,,
Campervan,8m42cm4mm,alap5,
Bear Ride,3m81cm2mm,friends,
Safari Bus,8m96cm2mm,friends,
Cable Car,7m3mm,afap5,
Ferris Wheel Gondola,8m90cm2mm,alap4,
Boat,2m88cm7mm,racetrack,
Canoe,3m2cm,racetrack,
Swan Boat,5m26cm3mm,racetrack,
,,,
Bullet Train Front,24m87cm1mm,alap5,
Bullet Train Rear,22m61cm7mm,alap5,
Tram,17m60cm7mm,alap5,
Train,13m75cm7mm,alap5,
Passenger Car,17m83cm5mm,alap5,
Express Train Front,21m94cm1mm,alap5,
Express Train Rear,21m85cm2mm,alap5,
Train,13m40cm4mm,"afap4, train tracks",
,,,
Small Yacht,8m17cm6mm,racetrack,
Sailboat,18m64cm2mm,alap4,
Submarine,28m74cm7mm,afap5,
Helicopter,9m10cm2mm,alap4,
Helicopter,9m10cm2mm,just right large,
UFO,60m,clouds,
Airship,112m22cm1mm,clouds,
,,,
7c. Work Vehicles,,,
,,,
Power Shovel,9m5cm7mm,racetrack,
Crane,21m32cm6mm,racetrack,
Bulldozer,11m79cm5mm,racetrack,
Steamroller,6m60cm7mm,racetrack,
Light Truck,5m44cm5mm,racetrack,
Truck,10m10cm6mm,alap5,
Container Truck,12m20cm7mm,alap5,
Garbage Truck,8m26cm,alap4,
,,,
Food Stall,4m31cm2mm,snow,
Food Wagon,5m53cm7mm,"afap5, on the bridge near the ferris wheel",
Taxi,5m44cm8mm,alap3,
Broadcast Van,6m2mm,racetrack,
Bus,12m28cm4mm,alap4,
London Bus,13m93cm1mm,alap5,
Firetruck,9m22cm5mm,alap4,
Small Fishing Boat,11m47cm2mm,alap4,
,,,
Fishing Boat,13m64cm2mm,alap5,
Trawler,28m48cm1mm,alap5,
,,,
7d. Advertising,,,
,,,
Barber's Pole,1m72cm5mm,alap4,
Barbershop Sign,1m35cm2mm,friends afap,
Bookstore Sign,1m35cm2mm,pandas,
Drugstore Sign,1m32cm9mm,pandas,
Florist Sign,1m14cm9mm,pandas,
Shoe Store Sign,1m81cm,pandas,
Takoyaki Sign,81cm8mm,sumo small,
Umbrella Shop Sign,1m14cm9mm,pandas,
,,,
Store Sign,1m80cm,alap3,
Store Sign,1m23cm7mm,alap3,
Store Sign,3m40cm4mm,alap3,
Lottery Sign,1m36cm5mm,racetrack,
Flea Market,1m66cm9mm,pandas,
Red Lamp,1m65cm4mm,alap3,
Electronics Store Sign,2m10cm1mm,alap3,
Fish Store Sign,2m8cm4mm,alap3,
,,,
"""All You Can Eat""",2m8cm5mm,alap3,
"""On Sale"" Banner",2m19cm5mm,snow,
Teahouse Banner,2m19cm5mm,campfire small,
Ramen Sign,1m79cm4mm,sumo small,
Fresh Sign,2m10cm1mm,alap3,
Gas Station Sign,5m50cm5mm,alap4,
Convenience Store,1m89cm6mm,afap5,
Pachinko Sign,1m80cm6mm,alap5,
,,,
Ice Cream Banner,2m10cm1mm,friends,
Gift Shop Banner,2m10cm1mm,friends,
Sno-Cone Sign,74cm2mm,friends afap,
Convenience Store Sign,1m89cm6mm,alap4,
Menu Banner,2m10cm1mm,sumo small,
Shop Sign,7m45cm,just right large,
Election Posters,2m63cm4mm,alap3,
Election Car,6m42cm7mm,alap5,
,,,
Sponsor's Arch,12m41cm3mm,racetrack,
Department Store Ad,6m19cm7mm,racetrack,
Milk Ad,6m32cm3mm,racetrack,
Pizza Shop Sign,9m56cm7mm,alap5,
Family Resturant Sign,6m31cm5mm,alap4,
Parking Lot Sign,7m31cm6mm,just right large,
Hotel Sign,6m74cm5mm,just right large,
Dentist Sign,8m18cm5mm,just right large,
,,,
Company Sign,6m2cm6mm,just right large,
Bank Sign,26m65cm5mm,just right large,
Men's Clothes Sign,15m5cm7mm,just right large,
Drink Sign,27m50cm6mm,just right large,
Publisher Sign,28m48cm9mm,just right large,
Financing Ad,24m7cm9mm,alap5,
Appliance Billboard,20m4cm4mm,alap5,
Car Ad,19m28cm,alap5,
,,,
Dentist Ad,3m95cm9mm,"alap3, random, alap4",
Station Ad,3m95cm9mm,"alap3, random, alap4",
Barbershop Ad,3m95cm9mm,"alap3, random, alap4",
Station Ad,3m95cm9mm,"alap3, random, alap4",
SF Movie Ad,5m52cm6mm,alap4,
Movie Theater Sign,5m52cm6mm,alap4,
Cinema Marquee,6m58cm4mm,alap4,
Movie Theater Sign,5m52cm6mm,alap4,
,,,
Casino Sign,11m19cm,afap5,
Life Insurance Ad,9m42cm5mm,alap4,
Tenant Ad,9m61cm8mm,afap5,
Coffee Ad,33m12cm5mm,alap5,
Shopping Mall Sign,29m51cm4mm,alap5,
Advertising Balloon,1mm35cm2mm,racetrack,
Stadium Balloon,52m12cm7mm,alap5,
,,,
7e. Guidance,,,
,,,
"""You Are Here""",25cm6mm,campfire small,
No Parking!,1m47cm7mm,alap3,
Quail River Sign,1m63cm4mm,alap4,
Under Construction,1m66cm9mm,campfire small,
Display Menu,1m68cm8mm,sumo medium,
Lunch Menu,1m71cm5mm,sumo small,
Bulletin Board,2m89cm1mm,"alap4, in the area where you start",
Station Sign,2m41cm,alap3,
,,,
Classroom 3-2 Sign,40cm1mm,school,
Teacher's Office Sign,40cm1mm,school,
Corridor Bulletin Board,2m50cm,school,
Bulletin Board,2m20cm,school,
"""Katamari""",1m48cm1mm,just right medium,
"""Experience""",1m48cm1mm,just right medium,
"""In""",1m48cm1mm,just right medium,
"""Progress""",1m48cm1mm,just right medium,
,,,
Zoo Map,3m41cm1mm,friends,
Zoo Guide Arrow,3m51cm7mm,friends,
Monkey Mountain,2m83cm1mm,friends,
Kiddy Zone,2m69cm,friends,
Amazon Zone,2m69cm,friends,
Farm Zone,2m69cm,friends,
Arctic Zone,3m91cm,friends,
Safari Zone,5m24cm4mm,friends,
,,,
"""Mother"" Sign",5m72cm7mm,friends,
"""Nature"" Sign",6m10cm7mm,friends,
"""Memorial"" Sign",4m91cm4mm,friends,
"""Z"" Sign",4m91cm4mm,friends,
"""O"" Sign",4m91cm4mm,friends,
"""O"" Sign",4m91cm4mm,friends,
Campground Map,4m23cm4mm,campfire large,
Map,50cm8mm,sweets house,
,,,
Flag Buoy,2m54cm6mm,racetrack,
Buoy,4m44cm,racetrack,
"""H"" Sign",53m25cm,alap5,
"""O"" Sign",35m25cm,alap5,
"""L"" Sign",35m22cm,alap5,
"""Y"" Sign",35m21cm,alap5,
"""W"" Sign",35m30cm,alap5,
"""D"" Sign",35m25cm,alap5,
,,,
Over 20cm,20cm,alap2,
Over 50cm,50cm,alap3,
Over 3m,3m,alap4,
Over 12m,12m,alap5,
Over 60m,60m,alap5,
Park Name,62cm4mm,alap2,
Apartment Map,1m73cm2mm,"alap3, alap4",
,,,
7f. Plants,,,
,,,
Garden Plant (M),2m54cm,alap3,
Garden Plant,1m8cm,alap3,
Weeds,2m8cm,alap3,
Bush,2m4cm7mm,alap3,
Bush,2m3cm8mm,alap3,
Thin Tall Grass,2m8cm7mm,alap3,
Thin Grass,2m1cm8mm,racetrack,
Tall Grass,3m42cm7mm,alap3,
,,,
Acorn,3m5mm,alap1,
Clover,4cm3mm,alap1,
Horsetail,5cm3mm,alap2,
Maple Leaf,7cm2mm,underwater,
Ginkgo,6cm5mm,underwater,
Fluff,30cm7mm,alap2,
Pampas Grass,46cm2mm,"friends afap, on the hill",
Reeds,3m36cm2mm,cowbear,
,,,
Lotus Leaf,1m21cm,underwater,
Giant Lotus Leaf,2m1cm7mm,friends,
Venus Fly Trap,98cm7mm,flowers,
Pitcher Plant,91cm,flowers,
Cactus,30cm,alap2,
Wild Cactus,18m92cm6mm,alap5,
Purple Tree,2m4cm,sumo medium,
Pink Tree,2m4cm,sumo medium,
,,,
Heartful Tree,2m4cm,sumo medium,
Cherry Blossom Tree,9m31cm2mm,alap5,
